customer_id,total_basket_count,tenure,sale
8463917,6,103,30
4219047,8,117,30
11149075,7,69,20
9170307,9,98,20
9519279,6,96,20
8238671,6,104,30
12230629,6,56,20
9468137,6,96,20
11107901,6,70,20
10686795,6,75,20
12233823,6,56,20
4327841,7,117,30
11498179,6,64,20
11290769,6,67,20
11709621,7,62,20
1077559,7,127,30
10387724,6,82,20
8926995,6,100,30
1101723,6,127,30
869421,6,129,30
4340231,6,117,30
5309731,6,113,30
10673747,6,76,20
551355,7,130,30
10095813,6,88,20
9290183,6,98,20
4664499,6,115,30
11136517,7,70,20
825111,6,129,30
9177805,6,98,20
10108945,7,88,20
12114907,6,57,20
8644391,7,102,30
8172059,7,104,30
9221863,6,98,20
8134763,6,104,30
10728179,6,75,20
8181525,6,104,30
8977465,6,99,20
4171055,6,117,30
10121204,6,87,20
11346531,6,66,20
845229,6,129,30
268289,6,130,30
10029579,7,89,20
828364,6,129,30
27867,6,131,30
10129007,6,87,20
25012,7,131,30
11451181,6,64,20
10606589,6,77,20
10704295,6,75,20
12066075,7,58,20
5299539,9,113,30
12389167,6,54,20
9826621,6,93,20
4874051,6,114,30
8898393,6,100,30
5283775,7,113,30
10314339,7,83,20
7913045,6,105,30
4355858,6,117,30
11042017,7,71,20
4187435,8,117,30
10676477,6,76,20
9976659,6,90,20
11533263,6,64,20
8343811,6,103,30
1059135,6,127,30
10592477,6,77,20
8053591,7,105,30
11880211,7,60,20
7884767,6,105,30
10582173,6,77,20
11702448,6,62,20
11899223,6,60,20
9824073,7,93,20
11100831,6,70,20
10290665,6,84,20
10406851,6,81,20
12342673,6,55,20
1053101,6,127,30
12310053,8,55,20
10412087,7,81,20
11413493,6,65,20
1095255,6,127,30
10829329,8,73,20
11479707,6,64,20
10781729,7,74,20
10917431,6,72,20
12434905,6,53,20
11800187,6,61,20
8503677,6,102,30
1082739,8,127,30
11626839,6,62,20
874020,7,129,30
7870625,7,105,30
10488093,6,79,20
876645,6,129,30
11220181,7,68,20
4698255,6,115,30
11788007,6,61,20
10642121,7,76,20
4335667,6,117,30
11435333,6,65,20
94857,7,131,30
8833545,6,100,30
12088195,6,58,20
10420081,6,81,20
4368931,6,117,30
11365949,7,66,20
8379157,8,103,30
9449223,6,96,20
11422215,6,65,20
10234100,6,85,20
10456803,6,80,20
8338141,6,103,30
11191201,7,69,20
10900337,6,72,20
11339363,6,66,20
11422873,8,65,20
11899615,6,60,20
8784349,6,101,30
12209015,7,56,20
12317473,6,55,20
12499165,7,53,20
825559,8,129,30
10549693,6,78,20
12065991,6,58,20
11757193,6,61,20
10333869,6,83,20
11247845,6,68,20
565649,6,130,30
11997262,6,59,20
488817,6,130,30
11369659,8,66,20
825587,8,129,30
11689517,8,62,20
4667159,13,115,30
11001361,7,71,20
7918354,7,105,30
10942813,6,72,20
4796696,8,115,30
12217219,6,56,20
9892631,6,91,20
11573933,6,63,20
11244919,6,68,20
11781469,6,61,20
12274899,7,56,20
5153841,6,113,30
11199895,7,69,20
10959781,6,72,20
11964447,7,59,20
11259857,6,68,20
85617,6,131,30
840553,7,129,30
11489625,6,64,20
10632909,6,76,20
11784316,7,61,20
1119069,6,127,30
9644619,7,95,20
10343445,8,82,20
12500117,6,53,20
11342933,7,66,20
10844755,6,73,20
11679406,6,62,20
5000569,6,114,30
4769717,6,115,30
11857839,6,60,20
4326203,7,117,30
11497801,6,64,20
878213,7,129,30
11484963,6,64,20
12098877,6,58,20
10984211,6,71,20
11642841,6,62,20
11834445,6,60,20
446047,6,130,30
11544281,6,63,20
12510113,6,53,20
4796421,6,115,30
12497345,6,53,20
11831463,6,60,20
12315093,8,55,20
11677267,7,62,20
1074773,6,127,30
10602557,9,77,20
11352340,8,66,20
12166310,6,57,20
11548523,6,63,20
8180851,6,104,30
5107095,7,113,30
11648973,7,62,20
11700619,6,62,20
11745279,6,61,20
10807279,7,74,20
4790401,6,115,30
9192359,7,98,20
11746343,10,61,20
5097533,7,113,30
11932151,6,59,20
10906217,6,72,20
10078859,6,88,20
10654567,7,76,20
11788749,6,61,20
10791963,6,74,20
10200841,7,86,20
10628177,7,76,20
10509037,7,79,20
10831401,6,73,20
8649621,7,102,30
9016735,6,99,20
11760875,7,61,20
4965723,6,114,30
879151,6,129,30
8888047,6,100,30
10273193,8,84,20
9573613,6,95,20
9873759,6,92,20
1134903,6,127,30
8920695,6,100,30
9082745,6,99,20
829829,7,129,30
10712621,8,75,20
10848971,6,73,20
10385641,6,82,20
8531789,7,102,30
9118025,6,99,20
4810701,6,115,30
8834469,6,100,30
10349913,6,82,20
9845563,6,92,20
10606211,6,77,20
9381575,6,97,20
829101,6,129,30
11037355,6,71,20
10819571,7,73,20
10601479,7,77,20
9556617,6,95,20
8631147,7,102,30
5302577,6,113,30
10121979,6,87,20
11698967,6,62,20
8846327,7,100,30
10473393,6,80,20
9063145,6,99,20
11025640,7,71,20
4787446,6,115,30
7965279,6,105,30
9679047,7,94,20
9473835,6,96,20
9487107,6,96,20
9618385,6,95,20
9339589,6,97,20
10885651,6,73,20
10948539,6,72,20
9741053,6,94,20
4951093,6,114,30
5108733,8,113,30
10910739,6,72,20
375406,7,130,30
9420845,8,97,20
9880521,6,92,20
8620255,6,102,30
318885,6,130,30
8603175,6,102,30
8693856,7,101,30
9590399,6,95,20
11123021,6,70,20
5127437,6,113,30
10536729,6,78,20
5106801,6,113,30
10719499,6,75,20
10295397,6,83,20
9427047,7,96,20
11743039,6,61,20
5260801,6,113,30
9142273,6,98,20
5134213,6,113,30
11635337,6,62,20
832445,6,129,30
10363773,7,82,20
818377,6,129,30
8924069,8,100,30
342381,6,130,30
691705,7,130,30
11058327,7,70,20
4201253,6,117,30
4333217,7,117,30
9414951,6,97,20
8635445,6,102,30
5026973,6,114,30
5185481,7,113,30
10337831,6,83,20
4671082,6,115,30
11284931,6,67,20
8034089,6,105,30
8984101,9,99,20
5287499,6,113,30
9116443,7,99,20
10334633,6,83,20
5197572,6,113,30
10270295,7,84,20
10519621,6,79,20
9947623,6,90,20
10127607,6,87,20
11913069,6,59,20
9820055,6,93,20
9573627,6,95,20
10939047,6,72,20
9159283,7,98,20
9917033,6,91,20
4372137,6,117,30
8257515,6,104,30
9234841,8,98,20
9002329,7,99,20
11857489,6,60,20
1079407,6,127,30
11561389,7,63,20
10881871,6,73,20
11582081,6,63,20
1086353,6,127,30
12196247,6,56,20
11196059,6,69,20
11709957,6,62,20
11305721,6,67,20
12465257,7,53,20
11433107,6,65,20
11860429,7,60,20
10349101,6,82,20
11826199,8,60,20
8751981,9,101,30
9328949,7,97,20
12265337,6,56,20
8228255,7,104,30
85855,6,131,30
842709,6,129,30
9643711,6,95,20
12202127,7,56,20
12066068,7,58,20
10515561,6,79,20
10907267,6,72,20
549605,7,130,30
11715739,6,62,20
12276369,6,56,20
10164819,6,87,20
11591223,7,63,20
4920839,6,114,30
1123899,6,127,30
12442773,6,53,20
10687145,6,75,20
12204885,6,56,20
10689889,6,75,20
10041633,6,89,20
10717595,6,75,20
11366243,6,66,20
10075572,6,88,20
12291811,6,55,20
12043955,6,58,20
64029,6,131,30
10454969,6,80,20
11075099,6,70,20
848659,7,129,30
11664952,6,62,20
5096385,6,113,30
88711,6,131,30
11059923,6,70,20
11531261,6,64,20
11138043,6,70,20
11646033,7,62,20
11963525,6,59,20
12176703,6,57,20
11887001,10,60,20
11604005,7,63,20
11119801,6,70,20
89271,7,131,30
10558177,6,78,20
11247299,6,68,20
10212377,6,86,20
11788943,6,61,20
11814397,6,60,20
4780363,6,115,30
1073247,8,127,30
828520,6,129,30
10199315,6,86,20
10218817,9,85,20
1125285,7,127,30
12492459,6,53,20
10860353,6,73,20
36888,6,131,30
11443215,6,65,20
12262341,8,56,20
9585121,6,95,20
